keys,en,fr
TITLE,Our Sokoban,Notre Sokoban
PLAY,PLAY,JOUER
Disconnect,Disconnect,Déconnection
LevelCreator,LevelCreator,Créateur de Niveaux
LevelPrefix,Level : ,Niveau : 
MAIN MENU,MAIN MENU,MENU PRINCIPAL
UnlockAll,Unlock All,Tout Débloquer
Login,Login,Connexion
Username:,Username:,Nom d'Utilisateur:
Password:,Password:,Mot de Passe:
Create an Account,Create an Account,Créer un compte
Remember me,Remember me,Rester connecté
Confirm your Password,Confirm your Password,Confirmer le mot de passe
New Level,New Level,Nouveau Niveau
Custom Levels Menu,Custom Levels Menu,Menu des niveaux customisés
Delete Level,Delete Level,Supprimer le niveau
Return,Return,Retour
Load Level,Load Level,Charger un Niveau
Level Name,Level Name,Nom du Niveau
STEP : ,STEP : ,PAS : 
Next Level,Next Level,Niveau Suivant
SAVE,SAVE,SAUVEGARDER
Name your Level,Name your Level,Nomer le Niveau
APPLY,APPLY,APPLIQUER
GRIDSIZE,GRIDSIZE,TAILLE
MyPassword,MyPassword,MonMotDePasse
MyUsername,MyUsername,Identifiant
